Linha,Entidade,Toque,Ponto
Malandro,Zé Pelintra,Samba,"Mulher, mulher, não tenha medo do seu marido (2x)
Se ele é bom na faca, Eu sou no facão
Se ele é bom na reza, Eu na oração
Se ele diz que sim, Eu digo que não
Eu sou Zé Pelintra, E ele é Lampião"
Malandro,Zé Pelintra,Samba,"Oi Zé, oi zé, mas que Zé enganador (2x)
Enganou moça bonita com palavras de amor
Não foi eu que enganei ela, ela mesmo se enganou"
Malandro,Zé Pelintra,Samba,"É Seu Zé que tá chegando, Zé Pelintra aqui chegou
Eita Zé que é arretado, Oxalá quem te mandou

Pai Ogum é seu amigo, pela esquerda ele andou
Bebeu cachaça com Exu, com Pomba Gira ele dançou

É Seu Zé que tá chegando, Zé Pelintra aqui chegou
Eita Zé que é arretado, Oxalá quem te mandou

Ele quebra a demanda, catimbó despedaçou
Eita seu Zé que é mulherengo, ""Zé Pelintra"". é do amor"
Preto Velho,Preto Velho,Samba,"Preto velho senta no toco faz o sinal da cruz pede proteção a Zambi para os filhos de Jesus 
Cada conta do seu rosário é um filho que ali está 
Se não fosse os pretos velhos não sabia caminhar"
Preto Velho,Preto Velho,Samba,"Vovó não quer casca de coco no terreiro (2x)
Pra não lembrar dos tempos do cativeiro (2x)"
Preto Velho,Preto Velho,Nago,"Pai Joaquim, cadê pai Mané? Pai Mané foi na mata apanhar guiné (2x)
Diga a ele que quando vier que suba a escada e não bata o pé! (2x)
Pai Joaquim ee, pai Joaquim ea… pai Joaquim veio de Angola..."
Preto Velho,Mãe Maria de Minas,Samba,"Salve Mãe Maria de Minas Mãe Maria de Minas Gerais (2x)
Preta velha rezadeira qualquer nó ela desfaz 
Preta velha mirongueira é a razão da minha paz (2x)
Da sua urucaia ela traz um cachimbo que vence demanda,
Sete pembas, rosas brancas, um rosário de guiné,
No cruzeiro abençoado trabalha pra quem tem fé (2x)"
Preto Velho,Preto Velho,Congo,"Preto velho quando tem luz ele entra em qualquer lugar (2x)
Pede licença a Zambi no terreiro, saravá coroa, vamos trabalhar (2x)"
Preto Velho,Preto Velho,Samba,"No tempo do cativeiro pai João era feitor (2x)
Todo mundo apanhava, ai que dó só pai João não apanhou (2x)"
Preto Velho,Preto Velho,Samba,"Keguele, Keguele Xangô ele é filho da cobra Coral (2x)
Olha o preto, tá trabalhando / Olha o branco, tá só olhando (2x)"
Preto Velho,Maria Redonda,Nago,"Fio, se suncê precisar é só pensar na vovó que ela vem te ajudar (2x)
Pensa numa estrada longa zifiu, lá no seu jacutá
E numa casinha branca, zifiu que a vovó tá lá
Sentada num banquinho tosco, zifiu com sua rosário na mão
Pensa na Vovó Maria Redonda fazendo Oração (2x)"
Preto Velho,Vovó Catarina,Nago,"Saráva pra Vovó Catarina que é dona da gira do meu terreiro
Saravá pra Vovó Catarina e pra todas as almas do cativeiro"
Preto Velho,Preta Velha,Nago,"Vovó tem 7 saias, na última saia tem mironga
Vovó veio de angola pra rezar filho de umbanda
Com seu patuá e a figa de guiné
Vovó veio de angola pra salvar filho de fé"
Preto Velho,Pai Benedito,Ijexa,"Pai benedito é preto, ô sinhá dona ele mora no roseiral (2x)
Ele é preto e tem coroa, sinhá dona ele é chefe de Congá (2x)"
Preto Velho,Preto Velho,Nago,"Preto velho nunca foi à cidade, ô sinhá fala na língua de Zambi, ô sinhá (2x)
Eeee ô sinhá, fala na língua de Zambi (2x)"
Preto Velho,Preto Velho,Nago,"Lá vem vovó descendo a ladeira com sua sacola
Com o seu patuá e figa de guiné ela vem de Angola (2x)
Eu quero ver vovó, eu quero ver, eu quero ver se filho de Umbanda tem querer (2x)"
Preto Velho,Nega Cambinda,Samba,"Nega Cambinda que fala nagô
Nega da Costa Rica, filha de babalaô"
Preto Velho,Preto Velho,Barravento,"A fumaça do cachimbo do preto, sobe no alto só não vê quem não quer (2x)
Sobe no alto só não vê quem não quer, a mironga do preto tá no pé"
Preto Velho,Preto Velho,Samba,"Vovô cochila, seu cachimbo cai no chão (2x)
É no sopro da fumaça que seus inimigos vão"
Preto Velho,Preto Velho,Samba,"Alele meu deus do céu, que alegria, os pretos velhos não carregam a soberbia
Meu Deus do céu, isso é tudo que eu queria, a estrela dalva ao romper do meio dia (2x)
Alele meu deus do céu, que alegria, os pretos velhos não carregam a soberbia
Eu vou plantar pé de guiné nesse terreiro, para mostrar como se quebra feiticeiro (2x)"
Preto Velho,Subida,Samba,"Eu vou embora minha terra é muito longe, mas mesmo assim vou caminhando devagar (2x)
O meu cruzeiro é um cruzeiro de penitência, mas Jesus Cristo de ajuda a carregar"
Caboclo,Sete Pedreiras,Samba,"Por detrás daquela serra, tem uma linda cachoeira (2x)
É de meu Pai Xangô, é de Xangô Sete Pedreiras (2x)"
Caboclo,Cobra Coral,Congo,"Em cima da pedra eu vi galo cantar, debaixo da pedra, tem cobra coral (2x)
Eu sou da mata, da mata eu sou, eu sou da mata e faço linha com Xangô (2x)"
Caboclo,Sultão da Mata,Congo,"Se ele é Sultão, amigo leal, sem Sultão da Mata não se pode trabalhar
Subi a ladeira, não pude descer, chamei por Santa Bárbara /Ó minha mãe vem me valer"
Caboclo,Pena Verde,Samba,"Caboclo Pena Verde é da umbanda, seu ponto, ele vem afirmar (2x)
Se ele é caboclo, ele é flecheiro, ele é guerreiro, no terreiro ele saúda a Jurema (2x)"
Caboclo,Caboclo,Congo,"Ele atirou, ele atirou e ninguém viu (2x)

Só seu Flecheiro é que sabe, aonde a flecha caiu (2x)
Ele atirou…"
Caboclo,Sete Flechas,Samba,"Foi numa tarde serena, lá nas matas da Jurema, que eu vi o caboclo bradar (2x)
Quiô, quiô, quiô, quiô, quiera
Sua mata está em festa, saravá seu seu sete flecha
Que ele é rei da floresta (2x)"
Caboclo,Sete Flechas,Nago,"Curimbembê, Curimbembá, sete Flechas um grande orixá (2x)
Com sete dias de nascido, a Jurema o encontrou
Deitado na folha seca, o caboclo ela criou
Curimbembê, Curimbembá, Sete Flechas um grande orixá (2x)
Nasceu na mata de Oxóssi, na aldeia de Juremá
O caboclo Sete Flechas, iluminado por Oxalá
Curimbembê, Curimbembá, sete Flechas um grande orixá (2x)"
Caboclo,Tupinamba,Samba,"Estava na beira do rio sem poder atravessar
Eu chamei pelo caboclo, caboclo Tupinambá (2x)
Tupinambá chamei, chamei tornei chamar eaahhh (2x)"
Caboclo,Pena Roxa,Congo,"Seu pena roxa 
Seus filho estão lhe chamando
Estão lhe chamando para trabalhar
Seu pena Roxa ele é chefe de aldeia
Seu pena Roxa é caboclo do Jurema
Seu pena Roxa vem aqui para me ajudar"
Caboclo,Caboclo,Congo,"Chefe dos indios, chama os indios pra aldeia (2x)
Na aldeia Caboclo, na aldeia"
Caboclo,Caboclo,Samba,"Caçador na beira do caminho, ô não me mate essa coral na estrada
Se ela abandonou sua choupana caçador foi no romper da madrugada (2x)"
Caboclo,Caboclo,Nago,"Vestimenta de caboclo é samambaia, é samambaia, é samambaia (2x)
Saia caboclo, não se atrapalha, saia do meio da samambaia (2x)"
Caboclo,Caboclo,Nago,"Caboclo Roxo da pele morena, ele Oxóssi caçador lá na Jurema (2x)
Ele jurou, ele jurara, para ouvir os conselhos que a Jurema possa dar (2x)"
Caboclo,Chegada,Congo,"Oxalá chamou e já mandou buscar, os caboclos da Jurema pro seu Juremá (2x)
Pai Oxalá, é rei do mundo inteiro e já deu ordens pra Jurema chamar seus falangeiros (2x)
Mandai, Mandai, minha cabocla Jurema, os seus guerreiros essa é a ordem suprema (2x)"
Caboclo,Caboclo,Samba,"Caboclo não tem caminho para caminhar (2x)
Caminha por cima da folha, por baixo da folha, em qualquer lugar (2x)"
Caboclo,Caboclo,Barravento,"Portão da Aldeia abriu, para Caboclo passar (2x)
É hora, é hora, é hora caboclo, é hora de trabalhar (2x)"
Caboclo,Jurema,Congo,"Dentro da mata virgem, uma linda cabocla eu vi (2x)
Com seu saiote feito de penas, era a Jurema, filha de tupi (2x)
Jurema, Jurema, Jurema, linda cabocla filha de tupi (2x)
Ela vem lá do Juremá,vem firmar seu ponto neste Congá (2x)"
Caboclo,Caboclo,Nago,"Se a coral é sua cinta, e a jibóia sua laça (2x)
Quizoa, quizoa, quizoa ê, caboclo mora nas matas (2x)"
Caboclo,Pena Branca,Congo,"Saravá seu Pena Branca, saravá seu apache
Traz flecha e seu bodoque, pra defender filhos de fé 
Ele vem de Aruanda, trabalhar neste casuá
Saravá Seu Pena Branca, um guerreiro de Oxalá

Sua flecha vai certeira, vai pegar no feiticeiro
Que fez juras e mandingas, para o filho do terreiro
Pega o arco, atira a flecha, que esse bicho é corredor
Mas deve ser castigo, ele é merecedor"
Caboclo,Pena Branca,Congo,"Um grito na mata ecoou, foi seu Pena Branca que chegou (2x)
Com sua Flecha, com seu Cocar, seu Pena Branca vem nos ajudar (2x)"
Caboclo,Ubirajara,Samba,"Seu Ubirajara, quando vem da aldeia, ele traz nas mãos uma cobra coral (2x)
É uma cobra coral, é uma cobra coral (2x)"
Caboclo,Treme Terra,Congo,"Ele chegou no meu terreiro e deu o seu brado de guerra  (2x)
O chão estremeceu , quando chegou seu Treme Terra  (2x)
Firma a Curimba Ogã e cante com muito amor  (2x)
Bate o tambor nessa aldeia Seu Treme Terra chegou  (2x)"
Marinheiro,Marinheiro,Samba,"Seu marinheiro veio de navio veio da bahia atender o meu chamado (2x)
O galo canta e o dia clareia, e a marujada vem sambar na areia (2x)"
Marinheiro,Marinheiro,Congo,"Seu Marinheiro é hora, é hora de vir trabalhar (2x)
É céu, é mar, é terra, oh marinheiro no balanço do mar (2x)"
Marinheiro,Subida,Congo,"Seu marinheiro é hora, é hora do seu barco navegar (2x)
O seu navio já está no porto, o comandante mandou te chamar (2x)"
Marinheiro,Subida,Samba,"Minha jangada vai sair pro mar, vou trabalhar meu bem querer
Se Deus quiser quando eu voltar do mar, um peixe bom eu vou trazer
Meus companheiros também vão voltar e a Deus do céu vamos agradecer (2x)"
Marinheiro,Martin Pescador,Samba,"Seu Martim Pescador que banda é a sua bebendo cachaça caindo na rua (2x)
Eu bebo eu bebo, eu bebo muito bem
Pago com meu dinheiro não é da conta de ninguém (2x)"
Marinheiro,Marinheiro,Barravento,"Eu não sou daqui... Marinheiro só
Eu não tenho amor... Marinheiro só
Eu sou da Bahia... Marinheiro só
E de São Salvador... Marinheiro só
O marinheiro, marinheiro… Marinheiro só 
Quem te ensinou a navegar?... Marinheiro só
Foi o tombo do navio… Marinheiro só
O foi o balanço do mar… Marinheiro só
Lá vem, lá vem… Marinheiro só 
Ele vem faceiro… Marinheiro só
Todo de branco… Marinheiro só
Com seu bonézinho… Marinheiro só (2x)"
Marinheiro,Marinheiro,Congo,"Vem marinheiro, dá licença de passar 
Meu navio entrou no porto, ele vem do alto-mar
Já cruzei a hora grande, mar revolto enfrentei 
Vou chamar pela pesqueira quero ver se ela vem
Quando eu pisar em terra, vou falar com minha velha
Meu navio foi no balanço e no balanço ele vem"
Marinheiro,Marinheiro,Nago,"Quem me ensinou a nadar, foi os peixinhos do mar
Foi, foi, foi marinheiro… foi minha mãe Iemanjá"
Baiano,Baiano,Nago,"Quando eu cheguei da Bahia, estrada eu não via (2x)
Em cada encruza que eu passava, uma vela eu acendia (2x)"
Baiano,Baiano,Samba,"Quando eu vim da Bahia, eu vim só, deixei pai, deixei mãe, deixei vó (2x)
Só, Só, Só, deixei pai, deixei mãe, deixei vó (2x)"
Baiano,Baiano,Congo,"Bahia, oh África, vem cá, vem nos ajudar (2x)
Força bahiana, força africana
Força Divina, vem cá, vem cá (2x)"
Baiano,Baiana,Samba,"Ê baiana, êêê baiana baianinha (2x)
Baiana boa, gosta de samba, entra na roda e diz que é bamba (2x)
Toca a viola que ela quer sambar, ela gosta de samba ela quer rebolar (2x)"
Baiano,Baiana,Samba,"Baiana faz e não manda, não tem medo de demanda (2x)
Baiana feiticeira da linha de Nagô, trabalha com pó de pemba pra ajudar Babalaô
Baiana sim, Baiana vem Quebra a mandinga com dendê (2x)"
Caboclo,Rompe Mato,Samba,"Seu rompe mato vem descendo serra
Seu rompe mato vem beirando o mar
Seu rompe mato com seu capacete de Aruanda
Pisa na Umbanda Aue 
Pisa na Umbanda Aue seu Rompe mato

Na beira do mato tem mironga 
Na beira do mato tem dendê
Na beira do mato tem despacho

Na beira do mato tem despacho
Que fizeram para você
No meio do misticismo
Você precisa aprender
Para falar com seu Rompe mato
Que ele vai te defender"
Baiano,Maria Bonita,Samba,"Eu vi uma saia rendada rodando no vento
Baiana chegou arretada escutou meu lamento 
Quebrou o coco, venceu demanda
Maria bonita que vem toda prosa na gira de umbanda"
Baiano,Baiana,Samba,"Olê mulher rendeira, olê mulher rendá (2x)
Tu me ensina a fazer renda que eu te ensino a namorar (2x)"
Baiano,Baiano,Nago,"Baiano é um povo bom, é povo trabalhador (2x)
Quem mexe com baiano, mexe com Nosso Senhor (2x)"
Baiano,Baiano,Samba,"Baiano quebra côco, quebra de qualquer maneira (2x)
Baiano no terreiro não aceita brincadeira (2x)
Baiano quebra porque conhece, baiano dá castigo pra quem merece (2x)"
Baiano,Baiano,Barravento,"Baiano bom, Baiano bom, Baiano bom é o que sabe trabalhar (2x)
Baiano bom é o que sobe no coqueiro, tira o coco, bebe a água e deixa o coco no lugar (2x)"
Baiano,Baiana,Barravento,"Baiana da saia rendada seu tabuleiro tem axé
A baiana tá requebrando como dança no candomblé (2x)
É na macumba aê, é na macumba á… Tambor ôôô ôôô ôôô (2x)"
Baiano,Baiano,Barravento,"Vamos baianada dançar no catimbó, amarrar os inimigos na pontinha do cipó (2x)
Amarrei, amarrei, amarrei e dei um nó, amarrei meus inimigos na pontinha do cipó (2x)"
Baiano,Corisco,Congo,"Samba gente até o sol raiar
Mataram Corisco é balearam Dadá (2x)
Mataram Corisco num dia de sexta feira
Mataram ele a caminho da feira (2x)
Se entrega Corisco eu não me entrego não
Só me entrego a bala, não irei pra prisão (2x)"
Baiano,Baiano,Barravento,"Eu trago a minha roupa num baú
Eu trago a minha faca e meu punhal (2x)
Se nego atira, eu me abaixo e bala passa 
No cachimbo da fumaça eu pego é nego no punhal (2x)"
Baiano,Demanda,Congo,"Se ele é baiano
Agora que eu quero ver
Dançar catira
No azeite de dendê
Eu quero ver
A baianada de Aruanda
Trabalhando na Umbanda
Pra demanda não vencer
Afirma ponto 
Baiano eu quero ver
Dançar catira
No azeite de dendê
Eu quero ver
A baianada de Aruanda
Trabalhando na Umbanda
Pra demanda não vencer"
Boiadeiro,Boiadeiro,Barravento,"Eu vi um boi bravo, no meio da estrada (2x)
Chamei seu boiadeiro, pra fazer a laçada (2x)"
Boiadeiro,Boiadeiro,Congo,"Seu boiadeiro, por aqui choveu (2x)
Choveu, água rolou, foi tanta água que meu boi nadou (2x)"
Boiadeiro,Boiadeiro,Congo,"Sua boiada é de 31, eu contei 30 e tá faltando 1 (2x)"
Boiadeiro,Boiadeiro,Barravento,"Nas tranças de seu cabelo, eu bebi água de gravatá (2x)
Eu bebi água de gravatá, seu boiadeiro, eu bebi água de gravatá (2x)"
Boiadeiro,Boiadeiro,Barravento,"Eu tenho meu chapéu de couro, eu tenho a minha guiada (2x)
Eu tenho meu lenço vermelho, para tocar minha vaquejada (2x)"
Boiadeiro,Maria da Mina do Ouro,Samba,"Do meu laço boi não foge, sou Rainha do Sertão
Tenho meu Chapéu de couro, meu berrante meu gibão
Em cima do meu cavalo, já corri todo esse chão
Já guiei muita boiada, sem jamais perder a mão
Nestas terras tão bonitas, fui guardando meu tesouro
Uns me chamam de Vaqueira, meu nome é Maria da Mina do Ouro"
Boiadeiro,Boiadeiro,Samba,"Oh, Deus salve o oratório (2x)
Onde Deus fez a morada, oiá, meu Deus… onde Deus fez a morada, oiá
Onde mora o cálice bento (2x)
E a hóstia consagrada, oiá, meu Deus, e a hóstia consagrada, oiá
De Jessé nasceu a vara (2x)
Da vara nasceu a flor, oiá, meu Deus… da vara nasceu a flor, oiá
E da flor nasceu Maria (2x)
De Maria o Salvador, oiá, meu Deus… de Maria o Salvador, oiá"
Boiadeiro,Boiadeiro,Samba,"Mais um adeus, aleluia adeus (2x)
Vou pra Aruanda, quem vai embora sou eu (2x)
Eu já vou, já vou, eu já vou pra lá, se meu pai me chama, eu não posso demorar (2x)"
Boiadeiro,Boiadeiro,Samba,"A menina do sobrado mandou me chamar pelo seu criado
Eu mandei dizer a ela, que estou vaquejando o meu gado 
Sou eu boiadeiro, que gosta de um samba arrochado (2x)
A menina do sobrado não penteia mais cabelo
Passa o dia na janela olhando pro boiadeiro 
Sou eu boiadeiro, que gosta de um samba arrochado (2x)"
Boiadeiro,Boiadeiro,Congo,"Pedrinha, miudinha, pedrinha de Aruanda ê, lajedo tão grande, tão grande de Aruanda ê 
É de pedrinha miúda, é de pedrinha graúda, é de pedrinha miúda, é de pedrinha graúda"
Boiadeiro,Boiadeiro,Congo,"Ô Boa noite, meus senhores, boa noite meus senhores
Dá licença parados cavaleiros, ô dá licença para os cavaleiros
Eu moro em Mata Cerrada, moro em Mata Cerrada, o meu nome é caboclo vaqueiro"
Boiadeiro,Boiadeiro,Congo,"Bóia boiadeiro, boiadeiro bóia (2x)
Se eu contar a minha vida boiadeiro chora (2x)"
Boiadeiro,Boiadeiro,Barravento,"Boiadeiro menino querido de Deus, boiadeiro menino querido de Deus  (2x)
Longe das sua terra, bem perto dos seus, longe da sua casa bem perto dos seus  (2x)"
Boiadeiro,Boiadeiro,Barravento,"Fala couro, fala mineiro, fala couro na gira de boiadeiro  (2x)
Pisei na porta da mina, pedi licença ao mineiro
A alegria dos meus olhos é ver seu Pedro boiadeiro  (2x)"
Boiadeiro,Boiadeiro,Barravento,"Oh lá no mato tem um boiadeiro (2x)
Ele é bonito e formoso como um raio de sol  (2x)
Oh lá no mato tem um boiadeiro (2x)
Ele é bonito e formoso como um raio de sol  (2x)"
Eres,Eres,Nago,"Papai manda um balão, com todas as crianças que estão lá no céu (2x)
Tem doce papai, tem doce papai, tem doce lá no jardim (2x)"
Eres,Eres,Congo,"Eu quero doce, Eu quero bala, eu quero açúcar pra passar na sua cara (2x)"
Eres,Eres,Samba,"Que lindo cavalo branco, que aquele menino vem montado
Descendo aquela serra, dizendo que é filho de um soldado (2x)
É Damião, é Damião, é Damião num lindo cavalo de ogum (2x)"
Eres,Eres,Nago,"Bahia é terra de dois, é terra de dois irmãos
Governador da Bahia, é São Cosme São Damião"
Eres,Eres,Nago,"Fui no jardim colher as rosas e a vovozinha deu-me a rosa mais formosa (2x)
Cosme Damião oh Doum, Crispim e Crispiniano, são os filhos de Ogum"
Eres,Eres,Nago,"Cosme e Damião, sua Santa já chegou
Ela vem do fundo do mar, Santa Bárbara quem mandou
Dois dois sereia do mar, dois, dois, dois, dois, minha mãe Iemanjá"
Eres,Eres,Congo,"Criança quando vem de aruanda, Iansã quem manda (2x)
Eles vem brincando, auê auê, no romper da aurora (2x)
Isquindin, isquindi, a criança faz assim (2x)"
Eres,Eres,Nago,"Lá no céu tem 3 estrelas, todas 3 em carreirinha (2x)
Uma é Cosme e Damião, a outra é Mariazinha (2x)"
Eres,Eres,Nago,"Cosme e Damião, Damião cadê Doum? Doum tá passeando no cavalo de Ogum (2x)
Dois, dois sereia do mar, dois, dois, dois, dois, minha mãe Iemanjá (2x)"
Eres,Subida,Nago,"Andorinha que voa voa andorinha, leva as crianças pro céu andorinha
Voa, voa, voa andorinha, leva os anjinhos pro céu andorinha"
Eres,Subida,Nago,"A sineta do céu bateu, Oxalá já disse é hora
A sineta do céu bateu, Oxalá já disse é hora 
Eu vou, eu vou, eu vou ficar com Deus e nossa senhora"
Eres,Eres,Samba,"Menininho D’Angola como brinca
Vem brincar
Menininho D’Angola como brinca
Vem brincar

Ele brinca de pique
Ele brinca de pipa
Vem brincar
Ele brinca de pique
Ele brinca de pipa
Vem brincar

Menininho D’Angola como brinca
Vem brincar
Menininho D’Angola como brinca
Vem brincar

Ele brinca de bola
Ele brinca de roda
Vem brincar
Ele brinca de bola
Ele brinca de roda
Vem brincar"
Eres,Eres,Congo,"É festa na rua
E no coração
Criança correndo
Com bala na mão (2x)

Pede a sua graça
Com devoção
É festa de Cosme
E São Damião (2x)"
Eres,Eres,Nago,"Na Bahia tem um coco
Coco que faz a cocada (2x)

Coco que faz o manjar
Para dar para Ibeijada (2x)

Doum, Doum, Doum
Doum, Cosme e Damião (2x)

Doum, Doum, Doum
Brinca sentado no chão (2x)"
Eres,Eres,Samba,"Cai, cai, sereno
Ai meu divino
Me leva agora
Para brincar com os meninos (2x)

Vou pedir licença à Zambi
E ao sagrado coração
Vamos todos bater palmas
Para São Cosme e Damião (2x)"
Eres,Eres,Congo,"Iemanjá cadê Ogum
Foi com Oxóssi ao rio de Jordão
Foram saudar São João Batista
E batizar Cosme e Damião"
Eres,Eres,Nago,"Doum, Doum
Vai buscar os seus maninhos
Doum, Doum
Vem brincando no caminho
Doum, Doum
Vem buscar os seus docinhos
Doum, Doum
Toma benção ao padrinho"
Eres,Eres,Samba,"Eu vi Mariazinha na beira d’água
Comendo arroz
Bebendo água"
Eres,Eres,Samba,"Vamos lá buscar criança
Com a ordem do vovô
Vamos lá buscar criança
Oxalá foi quem mandou"
Eres,Subida,Nago,"Ibeijada já vai embora
Aruanda está lhe chamando (2x)

E vão pra um jardim lá no céu
Oxalá está lhe esperando (2x)

Ibeijada já foi embora
Aruanda estava chamando (2x)

E foram pra um jardim no céu
Oxalá estava esperando (2x)"
Caboclo,Caboclo,Samba,"Caçador na beira do caminho
Oi não me mate esta coral na estrada
Se ela abandonou sua choupana, caçador
Foi no romper da madrugada"
Caboclo,Caboclo,Nago,"Vestimenta de caboclo é samambaia, é samambaia, samambaia (2x)

Venha caboclo, não se atrapalha
Saia do meio da samambaia (2x)"
Caboclo,Rompe Mato,Nago,"No meio da mata eu vi 
Dois nomes gravados num toco de pau 
De uma lado o Seu Rompe Mato 
No outro o Seu Cobra Coral
No meio na mata virgen eu vi
A dois caboclos falando a língua Tupi Guarani"
Caboclo,Subida,Congo,"Caboclo pega a sua flecha
Pega o seu bodoque
O galo já cantou

O galo já cantou na Aruanda
Oxalá, lhe chama
Vai pra sua banda"
Cigano,Cigana,Samba,"Ganhei uma barraca velha, foi cigana quem me deu (2x)
O que é meu é da cigana, o que é dela não é meu (2x)
Ciganinha do puerê, puerê, puerá (2x)"
Cigano,Cigana,Congo,"Uma cigana leu a minha mão, contou a minha vida, sem eu dizer nada (2x)
Eu perguntei qual era o nome dela, ela me respondeu, sou a cigana da estrada (2x)"
Cigano,Cigana,Barravento,"Ciganinha ciganinha, da sandália de pau (2x)
Ela só faz o bem, ela não faz o mal (2x)"
Cigano,Cigana,Samba,"Ô Ciganinha eu preciso de você (2x)
Vamos fazer um jogo, jogo de amarelinha 
Se eu perder você me ganha se eu ganhar você é minha (2x)"
Cigano,Cigana,Nago,"A cigana leu o meu destino, eu sonhei
Bola de cristal, jogo de búzios, cartomante
Eu sempre perguntei:
O que será o amanhã?
Como vai ser o meu destino?
Já desfolhei o mal-me-quer
Primeiro amor de um menino
E vai chegando o amanhecer
Leio a mensagem zodiacal
E o realejo diz:
Que eu serei feliz, sempre feliz
Como será amanhã
Responda quem puder
O que irá me acontecer
O meu destino será como Deus quiser (2x)"
Cigano,Cigana,Samba,"Bem que eu te avisei, que você não jogasse essa cartada comigo (2x)
Você parou no valete e eu parei na dama, amigo, você não se engana
Vamos saravá, essa linda cigana (2x)"
Cigano,Cigana,Samba,"Cigano não tem destino, ciganos não tem morada (2x)
Moradia de cigano, é na beira da estrada (2x)"
Cigano,Cigana,Samba,"Ô abre a roda, deixa a Ciganinha trabalhar
Ela tem peito de aço, ela tem peito de aço e coração se sabiá (2x)"
Cigano,Cigana,Congo,"Cigana, Cigana, que mora na beira do caminho (2x)
Vou ler a sua sorte, eu vou dizer o seu destino
É uma cigana bela, da cidade do Egito (2x)"
Cigano,Cigana,Samba,"Vinha caminhando a pé, para ver se encontrava uma cigana de fé (2x)
Ela parou e leu minha mão, disse-me toda verdade
Eu só queria saber aonde mora, a minha linda cigana"
Cigano,Cigana,Nago,"Eu mandei fazer uma baralho de ouro para a cigana jogar (2x)
Embaralha auê, embaralha auá, Deixa a cigana trabalhar (2x)"
Cigano,Cigana,Congo,"Essa magia é de saragoça, veio da terra da espanha
Lá vem o povo cigano, santa bárbara te acompanha
Palmas ao vento, vamos cantar, para o cigano bailar"
Defumação,Defumação,Nago,"Nossa Senhora incensou a Jesus Cristo, Jesus Cristo incensou aos filhos seus
Eu incenso, eu incenso esta casa na fé em Oxóssi, Ogum e Oxalá 
Vou incensando, vou defumando, a casa do Bom Jesus da Lapa (2x)
Estou incensando, estou me defumando (2x)
Com a coroa de são Bom Jesus da lapa (2x)
Incensa, incensa, incensador, salve a coroa de meu pai Xangô (2x)"
Defumação,Defumação,Nago,"Corre gira pai Ogum, filho quer se defumar, umbanda tem fundamento é preciso preparar 
Com incenso, beijou, alecrim e alfazema, defuma filhos de fé com as ervas da Jurema (2x)"
Defumação,Defumação,Nago,"Meu pai Oxóssi, peço licença pra defumar (2x)
Eu defumo, eu defumo essa aldeia real
"
Defumação,Defumação,Nago,"Defuma com as ervas da Jurema, defuma com arruda e guiné 
Benjoim, alecrim e alfazema, vamos defumar filhos de fé (2x)"
